STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_is,Information society indicator,ind_type,Individual type,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2022,,61.47,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2023,,63.42,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2024,,64.74,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2018,,46.09,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2019,,45.84,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2020,,50.04,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2021,,49.65,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2023,,57.74,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BA,Bosnia and Herzegovina,2024,,65.46,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2013,,46.64,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2014,,52.43,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2015,,66.72,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2016,,69.31,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2017,,72.02,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2018,,72.60,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2019,,75.53,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2020,,78.90,,u,low reliability,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2021,,62.78,,b,break in time series,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2022,,67.84,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2023,,68.48,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BE,Belgium,2024,,72.26,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2013,,37.30,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2014,,39.57,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2015,,42.15,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2016,,45.03,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2017,,49.95,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2018,,51.36,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2019,,52.85,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2020,,54.74,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2021,,60.05,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2022,,63.42,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2023,,64.20,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,BG,Bulgaria,2024,,64.99,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CH,Switzerland,2014,,42.86,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CH,Switzerland,2017,,52.72,,b,break in time series,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CH,Switzerland,2019,,53.26,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CH,Switzerland,2021,,67.10,,b,break in time series,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CH,Switzerland,2023,,69.11,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2013,,44.33,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2014,,50.10,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2015,,54.04,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2016,,59.97,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2017,,63.04,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2018,,68.96,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2019,,71.72,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2020,,78.18,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2021,,78.62,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2022,,77.91,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2023,,82.56,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CY,Cyprus,2024,,86.81,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2013,,36.30,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2014,,39.98,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2015,,40.64,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2016,,45.05,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2017,,48.35,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2018,,55.57,,b,break in time series,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2019,,58.95,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2020,,58.97,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2021,,61.50,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2022,,64.13,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2023,,68.13,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,CZ,Czechia,2024,,70.24,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2013,,42.09,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2014,,42.33,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2015,,56.96,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2016,,50.33,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2017,,50.59,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2018,,52.70,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2019,,52.50,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2020,,54.30,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2021,,46.60,,b,break in time series,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2022,,47.73,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2023,,48.61,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DE,Germany,2024,,58.02,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DK,Denmark,2013,,63.60,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DK,Denmark,2014,,66.49,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DK,Denmark,2015,,64.86,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,DK,Denmark,2016,,74.37,,,,,
